grupo,alias_name,alias_key,official_name,official_key,decision,source_sheet
58,SINDICATO UNICO DE TRABAJADORES,SINDICATO UNICO DE TRABAJADORES,SINDICATO UNICO DE TRABAJADO,SINDICATO UNICO DE TRABAJADO,unificar,N-Z
58,SINDICATO UNICO DE TRABAJADORES DEL ESTADO,SINDICATO UNICO DE TRABAJADORES DEL ESTADO,SINDICATO UNICO DE TRABAJADO,SINDICATO UNICO DE TRABAJADO,unificar,N-Z
59,SLIM FIT,SLIM FIT,SLIM FIT,SLIM FIT,unificar,N-Z
59,SLIM FIT S.A.S.,SLIM FIT S,SLIM FIT,SLIM FIT,unificar,N-Z
59,SLIM FIT S.A.S. (015),SLIM FIT S 015,SLIM FIT,SLIM FIT,unificar,N-Z
60,SPIRIT GROUP SRL,SPIRIT GROUP,SPIRIT GROUP SRL,SPIRIT GROUP,unificar,N-Z
61,Star Medical,STAR MEDICAL,Star Medical,STAR MEDICAL,unificar,N-Z
62,STOLIN SRL,STOLIN,STOLIN,STOLIN,unificar,N-Z
validacion-final-19,SUIZO ARGENTINA S.A,SUIZO ARGENTINA,SUIZO ARGENTINA SOCIEDAD ANONI,SUIZO ARGENTINA SOCIEDAD ANONI,unificar,Validación Final v2
validacion-final-19,SUIZO ARGENTINA SOCIEDAD ANONI,SUIZO ARGENTINA SOCIEDAD ANONI,SUIZO ARGENTINA SOCIEDAD ANONI,SUIZO ARGENTINA SOCIEDAD ANONI,unificar,Validación Final v2
64,Tecnoli,TECNOLI,Tecnoli,TECNOLI,unificar,N-Z
65,TEYLEM SA,TEYLEM,TEYLEM SA,TEYLEM,unificar,N-Z
66,TORCH S.A,TORCH,TORCH S A,TORCH,unificar,N-Z
67,traVEL LOG S.R.L.,TRAVEL LOG,TRAVEL LOG S.R.L.,TRAVEL LOG,unificar,N-Z
68,Vega y Camji,VEGA Y CAMJI,Vega y Camji,VEGA Y CAMJI,unificar,N-Z
68,VEGA Y CAMJI S A I C,VEGA Y CAMJI I C,Vega y Camji,VEGA Y CAMJI,unificar,N-Z
validacion-final-20,Wirksam,WIRKSAM,Wirksam,WIRKSAM,unificar,Validación Final v2
validacion-final-20,WIRKSAM GROUP,WIRKSAM GROUP,Wirksam,WIRKSAM,unificar,Validación Final v2
69,Wolf Pack,WOLF PACK,Wolfpack,WOLFPACK,unificar,N-Z
69,Wolfpack,WOLFPACK,Wolfpack,WOLFPACK,unificar,N-Z
